Date of Final Decision,Submission Number,Device,Company,Panel (lead),Primary Product Code,city,state,date_received,decision_date,decision_code,expedited_review_flag,device_class
8/15/2024,K241596,uMI Panvivo,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS,Shanghai,,2024-06-03,2024-08-15,SESE,,2
8/12/2024,K242054,OptimMRI (v2),"Rebrain, SAS",Radiology,QIH,Pessac,,2024-07-15,2024-08-12,SESE,,2
8/8/2024,K233822,i2Contour,MRIMath LLC,Radiology,QIH,Birmingham,AL,2023-12-01,2024-08-08,SESE,,2
8/5/2024,K240953,AI Platform 2.0 (AIP002),Exo Imaging,Radiology,QIH,Santa Clara,CA,2024-04-08,2024-08-05,SESE,,2
8/5/2024,K233992,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE,Fortitude Valley,,2023-12-18,2024-08-05,SESE,,2
8/2/2024,K233984,Acumen Assisted Fluid Management (AFM) Software Feature,"Edwards Lifesciences, LLC",Cardiovascular,QMS,Irvine,CA,2023-12-18,2024-08-02,SESE,,2
8/1/2024,K240301,MammoScreen® (3),Therapixel,Radiology,QDQ,Nice,,2024-02-01,2024-08-01,SESE,,2
8/1/2024,K234141,AISAP Cardio V1.0,Aisap,Radiology,POK,Ramat Gan,,2023-12-29,2024-08-01,SESE,,2
8/1/2024,K233731,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK,Buc,,2023-11-21,2024-08-01,SESE,,2
7/25/2024,K241887,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP,Dublin,,2024-06-28,2024-07-25,SESE,,2
7/24/2024,K240044,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP,London,,2024-01-05,2024-07-24,SESE,,2
7/22/2024,K240704,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions, USA, Inc.",Radiology,IYN,Issaquah,WA,2024-03-14,2024-07-22,SESE,,2
7/17/2024,K241121,MICSI-RMT,"Microstructure Imaging, Inc.",Radiology,LLZ,Brooklyn,NY,2024-04-23,2024-07-17,SESE,,2
7/17/2024,K240845,Rayvolve,AZmed SAS,Radiology,QBS,Laval,,2024-03-27,2024-07-17,SESE,,2
7/16/2024,K240944,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH,Guilford,CT,2024-04-05,2024-07-16,SESE,,2
7/15/2024,K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,MNR,Atlanta,GA,2024-02-01,2024-07-15,SESE,,2
7/12/2024,K234009,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH,Englewood,CO,2023-12-19,2024-07-12,SESE,,2
7/12/2024,K233457,RUS,Hutom Inc.,Radiology,QIH,Seoul,,2023-10-20,2024-07-12,SESE,,2
7/12/2024,K241727,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS,Tel Aviv,,2024-06-14,2024-07-12,SESE,,2
7/11/2024,K241329,SubtleSYNTH (1.x),"Subtle Medical, Inc.",Radiology,QIH,Menlo Park,CA,2024-05-10,2024-07-11,SESE,,2
7/3/2024,K241508,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP,Cambridge,MA,2024-05-28,2024-07-03,SESE,,2
7/2/2024,K240736,SMART Bun-Yo-Matic X-Ray,Disior Ltd,Radiology,QIH,Helsinki Uusimaa,,2024-03-18,2024-07-02,SESE,,2
7/2/2024,K240555,Tyto Insights for Crackles Detection,Tyto Care Ltd.,Anesthesiology,PHZ,Netanya,,2024-02-28,2024-07-02,SESE,,2
7/1/2024,K240353,Hyper Insight - ICH,SK Inc.,Radiology,QAS,Seongnam-si,,2024-02-05,2024-07-01,SESE,,2
6/25/2024,K240582,VEA Align; spineEOS,EOS imaging,Radiology,QIH,Paris,,2024-03-01,2024-06-25,SESE,,2
6/21/2024,K240465,O-arm O2 Imaging System,"Medtronic Navigation, Inc",Radiology,OWB,Boxborough,MA,2024-02-16,2024-06-21,SESE,,2
6/21/2024,K233196,Medihub Prostate,JLK Inc.,Radiology,QIH,Seoul,,2023-09-28,2024-06-21,SESE,,2
6/21/2024,K233549,Tempus ECG-AF,"Tempus AI, Inc.",Cardiovascular,SBQ,Chicago,IL,2023-11-03,2024-06-21,SESE,,2
6/21/2024,K233253,eCARTv5 Clinical Deterioration Suite (eCART),"AgileMD, Inc.",Cardiovascular,QNL,San Francisco,CA,2023-09-28,2024-06-21,SESE,,2
6/21/2024,K240631,"V8/XV8/XH8, V7/XV7/XH7, V6/XV6/XH6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,Hongcheon-gun,,2024-03-06,2024-06-21,SESE,,2
6/20/2024,K240642,SMART Bun-Yo-Matic CT,Disior Ltd,Radiology,QIH,Helsinki Uusimaa,,2024-03-06,2024-06-20,SESE,,2
6/14/2024,K233955,Clarius OB AI,Clarius Mobile Health Corp.,Radiology,IYN,Vancouver,,2023-12-15,2024-06-14,SESE,,2
6/14/2024,K241083,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH,Edina,MN,2024-04-19,2024-06-14,SESE,,2
6/13/2024,K233925,Relu Creator,Relu BV,Radiology,QIH,Leuven,,2023-12-13,2024-06-13,SESE,,2
6/13/2024,K233662,Radiography 7300 C,Philips Medical Systems DMC GmbH,Radiology,KPR,Hamburg,,2023-11-15,2024-06-13,SESE,,2
6/12/2024,K240516,RS85 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN,Hongcheon-gun,,2024-02-23,2024-06-12,SESE,,2
6/7/2024,K234042,EFAI Bonesuite XR Bone Age Pro Assessment System (BAP-XR-100),"Ever Fortune.AI Co., Ltd.",Radiology,QIH,Taichung City,,2023-12-21,2024-06-07,SESE,,2
6/7/2024,K241038,Cardiac CT Function Software Application,Circle Cardiovascular Imaging,Radiology,QIH,Calgary,,2024-04-16,2024-06-07,SESE,,2
6/7/2024,K231010,Corvair,"AliveCor, Inc.",Cardiovascular,MHX,Mountain View,CA,2023-04-07,2024-06-07,SESE,,2
6/7/2024,K232035,Impala,"AliveCor, Inc.",Cardiovascular,DPS,Mountain View,CA,2023-07-07,2024-06-07,SESE,,2
5/31/2024,K240612,CINA-VCF,Avicenna.AI,Radiology,QFM,La Ciotat,,2024-03-05,2024-05-31,SESE,,2
5/24/2024,K234154,uPMR 790,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,OUO,Shanghai,,2023-12-29,2024-05-24,SESE,,2
5/24/2024,K240769,LVivo IQS,DiA Imaging Analysis Ltd.,Radiology,QIH,Beer-Sheva,,2024-03-21,2024-05-24,SESE,,2
5/23/2024,K233108,VinDr-Mammo,VinBigData Joint Stock Company,Radiology,QFM,Ha Noi,,2023-09-27,2024-05-23,SESE,,2
5/23/2024,K240294,Syngo Carbon Enterprise Access (VA40A),Siemens Healthcare GmbH,Radiology,LLZ,Forchheim,,2024-02-01,2024-05-23,SESE,,2
5/21/2024,K233543,YSIO X.pree,Siemens Medical Solutions,Radiology,KPR,Malvern,PA,2023-11-03,2024-05-21,SESE,,2
5/17/2024,DEN230035,DentalMonitoring,Dental Monitoring SAS,Dental,SBC,Paris,,2023-05-04,2024-05-17,DENG,,2
5/17/2024,K233209,uOmnispace.CT,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH,Shanghai,,2023-09-28,2024-05-17,SESE,,2
5/16/2024,K233625,RAYDENT SW,"RAY Co., Ltd.",Dental,PNN,Yongin-si,,2023-11-13,2024-05-16,SESE,,2
5/15/2024,K241112,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,Tel Aviv,,2024-04-22,2024-05-15,SESE,,2
5/15/2024,K233247,Heuron ICH,"Heuron Co., Ltd.",Radiology,QAS,Seoul,,2023-09-28,2024-05-15,SESE,,2
5/15/2024,DEN230043,Notal Vision Home Optical Coherence Tomography (OCT) System,Notal Vision Inc,Ophthalmic,SAX,Manassas,VA,2023-06-07,2024-05-15,DENG,,2
5/10/2024,K232410,SmartChest,Milvue,Radiology,QFM,Paris,,2023-08-10,2024-05-10,SESE,,2
5/7/2024,K232928,DeepContour (V1.0),"Wisdom Technologies., Inc.",Radiology,QKB,Hefei,,2023-09-20,2024-05-07,SESE,,2
5/7/2024,K233864,ASSURE Wearable ECG,"Kestra Medical Technologies, Inc.",Cardiovascular,MWJ,Kirkland,WA,2023-12-06,2024-05-07,SESE,,2
5/3/2024,K233687,ECHELON Synergy V10.0,Fujifilm Healthcare Americas Corporation,Radiology,LNH,Lexington,MA,2023-11-17,2024-05-03,SESE,,2
5/3/2024,K232491,CT 5300,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK,Suzhou,,2023-08-17,2024-05-03,SESE,,2
5/3/2024,K232416,AUTION EYE AI-4510 Urine Particle Analysis System,Arkray Inc.,Hematology,LKM,Kyoto,,2023-08-11,2024-05-03,SESE,,2
4/30/2024,K232923,Ethos Treatment Management (3.0); Ethos Treatment Planning (2.0),Varian Medical Systems Inc.,Radiology,IYE,Palo Alto,CA,2023-09-19,2024-04-30,SESE,,2
4/29/2024,K240062,ARVIS® Shoulder,"Insight Medical Systems, Inc.",Neurology,OLO,Austin,TX,2024-01-09,2024-04-29,SESE,,2
4/26/2024,K232799,syngo.via RT Image Suite,"Siemens Medical Solutions USA, Inc.",Radiology,MUJ,Knoxville,TN,2023-09-12,2024-04-26,SESE,,2
4/26/2024,K240406,Sonio Detect,Sonio,Radiology,IYN,Paris,,2024-02-09,2024-04-26,SESE,,2
4/26/2024,K233673,uMR Jupiter,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,LNH,Shanghai,,2023-11-16,2024-04-26,SESE,,2
4/25/2024,K232331,InVision Precision LVEF (LVEF),InVision Medical Technology Corporation,Radiology,QIH,Los Angeles,CA,2023-08-04,2024-04-25,SESE,,2
4/24/2024,K240850,EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN,Bothell,WA,2024-03-27,2024-04-24,SESE,,2
4/23/2024,K240058,AEYE-DS,AEYE Health Inc.,Ophthalmic,PIB,New York,NY,2024-01-08,2024-04-23,SESE,,2
4/22/2024,K234068,ART-Plan (v.2.2.0),Therapanacea SAS,Radiology,MUJ,Paris,,2023-12-22,2024-04-22,SESE,,2
4/22/2024,K233582,Rapid,iSchema View Inc.,Radiology,LLZ,Golden,CO,2023-11-02,2024-04-22,SESE,,2
4/19/2024,K240781,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP,Cambridge,MA,2024-03-21,2024-04-19,SESE,,2
4/17/2024,K233186,uOmnispace.MR,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH,Shanghai,,2023-09-28,2024-04-17,SESE,,2
4/15/2024,K240773,VisAble.IO,Techsomed,Radiology,QTZ,Rehovot,,2024-03-21,2024-04-15,SESE,,2
4/12/2024,K240238,"Vantage Fortian/Orian 1.5T, MRT-1550, V9.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,Otawara-shi,,2024-01-29,2024-04-12,SESE,,2
4/11/2024,K233698,True Enhance DL,GE Healthcare Japan Corporation,Radiology,JAK,Hino-shi,,2023-11-17,2024-04-11,SESE,,2
4/10/2024,K240744,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH,Shanghai,,2024-03-18,2024-04-10,SESE,,2
4/9/2024,DEN230023,Rho,16 Bit Inc,Radiology,SAO,Ancaster,,2023-04-03,2024-04-09,DENG,,2
4/8/2024,K240291,EFAI CARDIOSUITE CTA ACUTE AORTIC SYNDROME ASSESSMENT SYSTEM,"Ever Fortune.AI, Co., Ltd.",Radiology,QAS,Taichung City,,2024-02-01,2024-04-08,SESE,,2
4/5/2024,K233666,CorVista System with PH Add-On,"Analytics for Life, Inc.",Cardiovascular,SAT,Toronto,,2023-11-15,2024-04-05,SESE,,2
4/5/2024,K233249,APPRAISE-HRI,"The Surgeon General, Department of the Army (TSG-DA)",Cardiovascular,SAR,Fort Dietrick,MD,2023-09-28,2024-04-05,SESE,,2
4/4/2024,K240172,Preview Shoulder,Genesis Software Innovations,Radiology,QIH,Grand Rapids,MI,2024-01-22,2024-04-04,SESE,,2
4/3/2024,K232899,AI-Rad Companion Organs RT,Siemens Medical Solutions U.S.A.,Radiology,QKB,Malvern,PA,2023-09-18,2024-04-03,SESE,,2
4/3/2024,K233618,Oxevision Sleep Device,Oxehealth Limited,Neurology,LEL,Oxford,,2023-11-13,2024-04-03,SESE,,2
4/2/2024,K232835,Aquilion ONE (TSX-308A/3) V1.4 with PIQE Reconstruction System,Canon Medical Systems Corporation,Radiology,JAK,Otawara-shi,,2023-09-14,2024-04-02,SESE,,2
4/2/2024,DEN230036,Sepsis ImmunoScore,"Prenosis, Inc.",General Hospital,SAK,Chicago,IL,2023-05-05,2024-04-02,DENG,,2
4/1/2024,K233676,Us2.v2,Eko.ai Pte. Ltd d/b/a Us2.ai,Radiology,QIH,Singapore,,2023-11-16,2024-04-01,SESE,,2
3/29/2024,K233211,AVIEW CAC,"Coreline Soft Co., Ltd.",Radiology,QIH,Seoul,,2023-09-28,2024-03-29,SESE,,2
3/28/2024,K233657,NAEOTOM Alpha,"Siemens Medical Solutions USA, Inc.",Radiology,JAK,Knoxville,TN,2023-11-14,2024-03-28,SESE,,2
3/28/2024,K233409,Eko Low Ejection Fraction Tool (ELEFT),"Eko Health, Inc.",Cardiovascular,QYE,Emeryville,CA,2023-10-06,2024-03-28,SESE,,2
3/26/2024,K233650,SOMATOM go.Up; SOMATOM go.Now; SOMATOM go.All; SOMATOM go.Top; SOMATOM go.Sim; SOMATOM go.Open Pro; SOMATOM X.cite; SOMATOM X.ceed,"Siemens Medical Solutions USA, Inc.",Radiology,JAK,Knoxville,TN,2023-11-14,2024-03-26,SESE,,2
3/22/2024,K232322,MAGNETOM Terra; MAGNETOM Terra.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-08-03,2024-03-22,SESE,,2
3/22/2024,K232431,syngo.CT Brain Hemorrhage,"Siemens Medical Solutions USA, Inc.",Radiology,QAS,Knoxville,TN,2023-08-11,2024-03-22,SESE,,2
3/22/2024,K240540,uMR Omega,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH,Shanghai,,2024-02-26,2024-03-22,SESE,,2
3/21/2024,K233753,AI-Rad Companion (Pulmonary),Siemens Healthcare GmbH,Radiology,JAK,Erlangen,,2023-11-22,2024-03-21,SESE,,2
3/20/2024,K234047,Automatic Registration,Brainlab AG,Neurology,OLO,Munich,,2023-12-21,2024-03-20,SESE,,2
3/15/2024,K233342,CINA-ASPECTS,Avicenna.AI,Radiology,POK,La Ciotat,,2023-09-29,2024-03-15,SESE,,2
3/13/2024,K233968,CINA-iPE,Avicenna.AI,Radiology,QAS,La Ciotat,,2023-12-15,2024-03-13,SESE,,2
3/11/2024,K232140,OTS Hip,Ortoma AB,Neurology,OLO,Gothenburg,,2023-07-18,2024-03-11,SESE,,2
3/8/2024,K233438,SleepStageML,"Beacon Biosignals, Inc.",Neurology,OLZ,Boston,MA,2023-10-13,2024-03-08,SESE,,2
3/7/2024,K233692,"Voluson Signature 20, Voluson Signature 18","GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN,Wauwatosa,WI,2023-11-17,2024-03-07,SESE,,2
3/6/2024,K231677,EdgeFlow UH10,Edgecare Inc.,Radiology,IYO,Seoul,,2023-06-09,2024-03-06,SESE,,2
3/4/2024,K233738,Overjet Caries Assist-Pediatric,"Overjet, Inc",Radiology,MYN,Boston,MA,2023-11-22,2024-03-04,SESE,,2
3/1/2024,K233030,BoneMRI,MRIguidance B.V,Radiology,QIH,Utrecht,,2023-09-25,2024-03-01,SESE,,2
3/1/2024,K231690,iCAS-LV,HighRAD Ltd.,Radiology,QIH,Tel Aviv,,2023-06-09,2024-03-01,SESE,,2
2/29/2024,K232765,MAGNETOM Cima.X Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-09-08,2024-02-29,SESE,,2
2/29/2024,K231683,inHEART Models,"inHEART, SAS",Radiology,QIH,Pessac,,2023-06-09,2024-02-29,SESE,,2
2/28/2024,K232613,CT Cardiomegaly,"Innolitics, LLC",Radiology,QIH,Austin,TX,2023-08-28,2024-02-28,SESE,,2
2/23/2024,K233590,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH,Boston,MA,2023-11-08,2024-02-23,SESE,,2
2/22/2024,K233749,Revolution Ascend Sliding,"GE Hangwei Medical Systems Co., Ltd.",Radiology,JAK,Beijing Economic & Technological Develop,,2023-11-22,2024-02-22,SESE,,2
2/21/2024,K232148,X-Guide Surgical Navigation System,"X-Nav Technologies, LLC",Dental,QRY,Lansdale,PA,2023-07-19,2024-02-21,SESE,,2
2/15/2024,K232915,EpiMonitor,Empatica Srl,Neurology,POS,Milan,,2023-09-19,2024-02-15,SESE,,2
2/13/2024,K231855,QOCA® image Smart RT Contouring System,Quanta Computer Inc.,Radiology,QKB,Taoyuan City,,2023-06-23,2024-02-13,SESE,,2
2/13/2024,K233788,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Ultrasound LLC,Radiology,IYN,Bothell,WA,2023-11-28,2024-02-13,SESE,,2
2/9/2024,K231355,Aurora,EnsoData,Anesthesiology,MNR,Madison,WI,2023-05-10,2024-02-09,SESE,,2
2/8/2024,K233080,HealthFLD,Nano-X AI Ltd.,Radiology,JAK,Shefayim,,2023-09-26,2024-02-08,SESE,,2
2/6/2024,DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,QZW,Suwon-si,,2023-05-31,2024-02-06,DENG,,2
2/5/2024,K232363,"Viz HDS, Viz Volume Plus, Viz ICH+","Viz.ai, Inc.",Radiology,QIH,San Francisco,CA,2023-08-07,2024-02-05,SESE,,2
1/31/2024,K231396,CEPHX- Cephalometric Analysis Software,Orca Dental AI LTD,Radiology,LLZ,Herzliya,,2023-05-15,2024-01-31,SESE,,2
1/31/2024,DEN210035,Genius Digital Diagnostics System with the Genius Cervical AI algorithm,Hologic Inc.,Pathology,QYV,Marlborough,MA,2021-08-27,2024-01-31,DENG,,2
1/24/2024,K233195,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",Canon Medical Systems Corporation,Radiology,IYN,Otawara-shi,,2023-09-28,2024-01-24,SESE,,2
1/19/2024,K232156,Rapid ASPECTS (v3),"iSchemaView, Inc.",Radiology,POK,Golden,CO,2023-07-20,2024-01-19,SESE,,2
1/19/2024,K233728,SIGNA Champion,GE Healthcare (Tianjin) Company Limited,Radiology,LNH,Tianjin,,2023-11-21,2024-01-19,SESE,,2
1/18/2024,K232698,NemoScan,Software Nemotec S.L.,Radiology,QIH,Leganes,,2023-09-05,2024-01-18,SESE,,2
1/17/2024,K231871,Radify Triage,Envisionit DeepAI Ltd,Radiology,QFM,Cobham,,2023-06-26,2024-01-17,SESE,,2
1/16/2024,K233512,Rapid (6.0),"iSchemaView, Inc.",Radiology,QIH,Golden,CO,2023-11-01,2024-01-16,SESE,,2
1/13/2024,K233216,CLEWICU System,Clew Medical Ltd.,Cardiovascular,QNL,Poleg,,2023-09-28,2024-01-13,SESE,,2
1/12/2024,K233677,Biograph VK10,"Siemens Medical Solutions USA, Inc.",Radiology,KPS,Knoxville,TN,2023-11-16,2024-01-12,SESE,,2
1/12/2024,K233964,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP,Dublin,,2023-12-15,2024-01-12,SESE,,2
1/12/2024,DEN230008,DermaSensor,DermaSensor Inc.,General and Plastic Surgery,QZS,Miami,FL,2023-02-02,2024-01-12,DENG,,2
1/12/2024,DEN220040,Fibresolve,"Imvaria, Inc",Radiology,QWO,Berkley,CA,2022-06-29,2024-01-12,DENG,,2
1/11/2024,K232250,SurgiCount+ System,Stryker Instruments,General Hospital,PBZ,Portage,MI,2023-07-28,2024-01-11,SESE,,2
1/11/2024,DEN220066,BrainSee,"Darmiyan, Inc.",Neurology,QWT,Berkeley,CA,2022-09-29,2024-01-11,DENG,,2
1/8/2024,K232412,LungQ v3.0.0,Thirona BV,Radiology,JAK,Toernooiveld 300,,2023-08-10,2024-01-08,SESE,,2
1/8/2024,K231324,DASI Dimensions (V1.0),DASI Simulations,Radiology,QIH,Dublin,OH,2023-05-08,2024-01-08,SESE,,2
1/7/2024,K231068,autoSCORE,Holberg EEG AS,Neurology,OMB,Bergen,,2023-04-14,2024-01-07,SESE,,2
1/5/2024,K231917,VEA Align,EOS imaging,Radiology,QIH,Paris,,2023-06-29,2024-01-05,SESE,,2
1/4/2024,K232808,Butterfly iQ3 Ultrasound System,"Butterfly Network, Inc.",Radiology,IYN,Burlington,MA,2023-09-12,2024-01-04,SESE,,2
1/3/2024,K231779,REMI AI Discrete Detection Module,"Epitel, Inc.",Neurology,OMB,Salt Lake City,UT,2023-06-16,2024-01-03,SESE,,2
12/26/2023,K231130,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH,Chicago,IL,2023-04-20,2023-12-26,SESE,,2
12/22/2023,K231805,qXR-LN,Qure.ai Technologies,Radiology,MYN,Mumbai,,2023-06-20,2023-12-22,SESE,,2
12/22/2023,K232535,MAGNETOM Sola; MAGNETOM Altea,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,Malvern,PA,2023-08-21,2023-12-22,SESE,,2
12/22/2023,K232479,ART-Plan,TheraPanacea,Radiology,MUJ,Paris,,2023-08-16,2023-12-22,SESE,,2
12/21/2023,K233112,HM70 EVO Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN,Hongcheon-gun,,2023-09-27,2023-12-21,SESE,,2
12/20/2023,K233176,uOmnispace.MI,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LLZ,Shanghai,,2023-09-28,2023-12-20,SESE,,2
